ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
2004-05-27 13:00:00,-200,1073,-200,12.1,1052,-200,1009,-200,1574,854,27.5,20.9,0.7565,31.04442764,16.35813235,45.58951238
2004-05-27 14:00:00,-200,1049,-200,10.1,983,-200,1071,-200,1515,782,29.5,19.7,0.8015,30.45253298,15.45549594,46.80993415
2004-05-27 15:00:00,-200,1086,-200,11.9,1048,-200,1016,-200,1580,888,30.6,18.6,0.8014,30.23422672,15.02813178,45.80729021
2004-05-27 16:00:00,-200,1059,-200,11.3,1027,-200,1066,-200,1521,764,31.3,15.8,0.7106,30.63665287,15.66044003,46.02909994
2004-05-27 17:00:00,-200,1244,-200,20.2,1301,-200,842,-200,1801,1170,29.4,21,0.8452,32.19240941,17.53658642,48.32212583
2004-05-27 18:00:00,-200,1320,-200,24.8,1423,-200,767,-200,1986,1385,27,23.5,0.8256,35.01420035,18.86427668,50.39907641
2004-05-27 19:00:00,-200,1236,-200,20.3,1304,-200,822,-200,1868,1237,25.8,26.7,0.8758,38.49838848,24.5816386,54.62505989
2004-05-27 20:00:00,-200,1136,-200,16.2,1187,-200,904,-200,1735,1127,23.7,28.4,0.8225,41.72065025,26.01001311,56.82120528
2004-05-27 21:00:00,-200,1110,-200,13.3,1093,-200,961,-200,1661,1091,21.3,33,0.8284,44.12053773,29.06682168,59.11029196
2004-05-27 22:00:00,-200,1026,-200,10.3,990,-200,1032,-200,1553,972,20.5,35.3,0.8435,45.81669095,30.75883283,61.13222409
2004-05-27 23:00:00,-200,1038,-200,9.6,961,-200,1026,-200,1530,949,19.4,38.1,0.8511,47.29775192,31.43193683,62.98876227
2004-05-28 00:00:00,-200,975,-200,7.8,892,-200,1015,-200,1480,890,19.4,40.7,0.9045,48.86116989,32.63092907,64.11708845
2004-05-28 01:00:00,-200,908,-200,6.1,814,-200,1089,-200,1403,763,17.8,44.9,0.903,50.38302846,34.31259703,65.98065789
2004-05-28 02:00:00,-200,896,-200,6.2,820,-200,1074,-200,1439,833,16.6,49.7,0.9295,51.60196389,36.30560393,66.84114678
2004-05-28 03:00:00,-200,810,-200,3.8,697,-200,1221,-200,1321,675,16.5,48.6,0.9028,52.52712591,36.41894713,68.40453875
2004-05-28 04:00:00,-200,789,-200,2.8,638,-200,1305,-200,1309,672,15.2,53.6,0.919,53.44513784,37.7591548,69.0823362
2004-05-28 05:00:00,-200,814,-200,3.4,678,-200,1276,-200,1339,626,15.5,51.7,0.9019,54.45399949,39.40136553,69.32217264
2004-05-28 06:00:00,-200,958,-200,8.2,907,-200,992,-200,1536,882,14.9,54.8,0.9247,55.02031366,39.20334843,71.33184008
2004-05-28 07:00:00,-200,1213,-200,19.2,1274,-200,762,-200,1914,1264,16.3,51.3,0.9416,54.12595284,38.24013641,69.15919253
2004-05-28 08:00:00,-200,1221,-200,22.6,1367,-200,722,-200,2008,1330,18.4,45.7,0.9559,51.02340381,36.21049575,68.39949043
2004-05-28 09:00:00,-200,1245,-200,19.4,1281,-200,774,-200,1952,1324,20.8,43.6,1.0614,45.97794211,32.06504415,62.82556228
2004-05-28 10:00:00,-200,1050,-200,9.6,963,-200,998,-200,1609,901,24.3,35.1,1.0477,40.29366289,25.23925645,56.36159022
2004-05-28 11:00:00,-200,1048,-200,9.8,969,-200,1012,-200,1600,852,26.4,29.3,0.9889,35.52458044,19.95194914,51.19367536
2004-05-28 12:00:00,-200,1141,-200,14.4,1128,-200,902,-200,1738,1009,28.3,25,0.9495,32.50944997,16.73883404,47.116438
2004-05-28 13:00:00,-200,1052,-200,12.1,1053,-200,949,-200,1641,831,28.9,23.7,0.9285,31.03511295,16.0417573,45.40474805
2004-05-28 14:00:00,-200,1152,-200,13.5,1099,-200,908,-200,1706,954,28.5,25.8,0.9931,30.35948166,15.57227795,45.55488916
2004-05-28 15:00:00,1.7,1026,-200,12.3,1061,133,982,115,1564,814,29.6,18.9,0.7692,30.05136724,14.84952025,44.96089775
2004-05-28 16:00:00,1.7,1039,-200,12.2,1055,131,966,117,1590,845,28,23.2,0.8613,30.35891099,15.59634287,46.65568603
2004-05-28 17:00:00,2.1,1148,-200,12.5,1067,133,887,105,1790,956,23.6,41,1.1786,31.81578717,15.98461786,46.79292935
2004-05-28 18:00:00,2.2,1176,-200,13.9,1114,141,843,114,1805,1102,21.5,48.1,1.2148,34.53584063,19.05414285,49.45034664
2004-05-28 19:00:00,1.8,1100,-200,11.4,1028,112,900,103,1710,994,22.1,44.1,1.1573,37.91662421,23.70422314,52.93044072
2004-05-28 20:00:00,1.8,1081,-200,10.4,992,147,959,119,1680,935,20.2,47.2,1.1043,41.03503764,25.62649863,56.34587438
2004-05-28 21:00:00,0.9,976,-200,7,858,104,1070,102,1547,839,20,47.6,1.103,43.33187305,27.47631175,57.75307775
2004-05-28 22:00:00,1,979,-200,7,857,97,1082,96,1546,797,19.8,46.8,1.0697,44.92701057,29.47577387,59.93141493
2004-05-28 23:00:00,2,1092,-200,11.3,1024,128,937,109,1706,968,19.6,47,1.0606,46.31031563,31.01115622,62.19403671
2004-05-29 00:00:00,1.8,1044,-200,9.2,946,138,1009,119,1594,886,19.3,46.3,1.0279,47.78042768,31.65871159,62.90809264
2004-05-29 01:00:00,1.1,940,-200,6.8,849,93,1091,103,1509,764,18.5,48.7,1.0286,49.21457114,33.90084116,65.6479755
2004-05-29 02:00:00,0.6,892,-200,5.1,767,71,1180,84,1466,657,18,51.4,1.0504,50.35245821,34.52565462,66.02052403
2004-05-29 03:00:00,0.3,838,-200,3.4,675,-200,1302,-200,1390,540,17.9,50.8,1.0355,51.20423492,34.95004527,67.13029218
2004-05-29 04:00:00,-200,853,-200,4.3,727,44,1179,59,1417,621,17.7,51.9,1.0379,52.05742767,36.50488287,66.6002468
2004-05-29 05:00:00,-200,738,-200,1.5,545,18,1562,29,1266,450,17.7,49.7,0.997,53.01083349,37.21697063,68.9271622
2004-05-29 06:00:00,0.1,762,-200,2,581,41,1588,45,1277,434,17.9,46.1,0.9383,53.53173555,37.9184518,68.43527336
2004-05-29 07:00:00,0.5,841,-200,4,713,84,1293,80,1356,559,18.4,43.9,0.9192,52.60256014,36.4355012,69.41249501
2004-05-29 08:00:00,0.6,843,-200,4,712,77,1303,77,1343,548,18.9,42.1,0.9081,49.4762133,33.43946082,65.24200173
2004-05-29 09:00:00,0.5,841,-200,4,713,73,1326,68,1330,525,19.2,39.7,0.8728,44.41824907,28.50667053,59.76338753
2004-05-29 10:00:00,0.7,862,-200,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878,38.73289593,23.44372922,53.79244283
2004-05-29 11:00:00,0.7,869,-200,4.5,740,77,1296,70,1366,535,21.3,35.8,0.8975,33.97415377,18.9573108,48.85536268
2004-05-29 12:00:00,0.9,894,-200,6,810,82,1204,74,1421,585,21.8,34.9,0.9004,30.98061511,15.18990709,46.01997172
2004-05-29 13:00:00,0.7,844,-200,4.8,755,67,1284,64,1350,521,22.8,31.4,0.8615,29.53881179,15.30311224,45.00109934
2004-05-29 14:00:00,0.4,823,-200,3.8,699,59,1382,60,1311,493,22.9,31.3,0.862,28.90620275,12.70016886,45.20282317
2004-05-29 15:00:00,0.5,843,-200,4.2,719,61,1353,63,1330,501,22.9,30.7,0.8461,28.65100737,12.88088102,44.56386938
2004-05-29 16:00:00,0.6,865,-200,5.1,767,76,1279,75,1369,559,23.8,29.2,0.8499,29.02064367,12.9638595,44.27224
2004-05-29 17:00:00,0.6,873,-200,5.6,792,73,1247,79,1397,589,23.2,30.2,0.8442,30.54793989,14.70579726,44.81459064
2004-05-29 18:00:00,0.8,899,-200,5.8,803,87,1221,83,1426,596,22.4,31.3,0.8365,33.34578259,17.82509464,48.03836772
2004-05-29 19:00:00,1,921,-200,7,856,98,1163,93,1437,681,21.7,32.2,0.825,36.81066587,21.30863183,52.80415934
2004-05-29 20:00:00,1.2,937,-200,7.9,893,123,1106,112,1463,783,20.8,33.2,0.8061,40.0183436,24.33516211,55.3732912
2004-05-29 21:00:00,1,901,-200,6.5,834,102,1177,103,1408,738,20.1,35,0.8149,42.4083894,27.65703933,59.62147443
2004-05-29 22:00:00,1.3,955,-200,8.5,918,102,1056,93,1511,762,19.5,36.9,0.8258,44.0994077,28.63612526,60.5435035
2004-05-29 23:00:00,2.7,1065,-200,13.7,1106,142,897,112,1707,929,19,38.2,0.8327,45.57994741,30.62740755,61.07376508
2004-05-30 00:00:00,2.7,1035,-200,13.8,1110,148,907,125,1652,1044,18.5,39.4,0.832,47.14730752,31.43161294,62.56806972
2004-05-30 01:00:00,1.6,956,-200,9.1,945,107,1030,107,1509,892,17.8,41.7,0.844,48.67736537,33.19250344,63.62547869
2004-05-30 02:00:00,0.6,869,-200,6.5,835,61,1078,76,1437,807,19.2,42,0.9248,49.90849702,34.20372013,65.71879485
2004-05-30 03:00:00,0.3,831,-200,6.2,822,-200,1085,-200,1418,710,17.8,44.8,0.9048,50.84954073,35.00217589,66.99439224
2004-05-30 04:00:00,-200,815,-200,5.2,774,43,1113,55,1374,712,17,47.7,0.9185,51.78676068,36.76184314,66.30402651
2004-05-30 05:00:00,0.1,781,-200,3.1,661,25,1271,37,1299,568,17.2,47.2,0.9178,52.817754,36.89447445,67.7133541
2004-05-30 06:00:00,0.1,781,-200,2.9,645,32,1295,45,1320,575,17.3,47.6,0.9295,53.40868223,37.69226988,69.75500311
2004-05-30 07:00:00,0.2,828,-200,3.6,690,48,1263,61,1353,658,18.6,44.2,0.9385,52.54094343,36.60779525,67.67825419
2004-05-30 08:00:00,0.3,803,-200,2.7,635,60,1417,67,1272,537,20.2,37.8,0.8837,49.46652284,34.41002314,65.48191544
2004-05-30 09:00:00,0.3,811,-200,3,653,52,1411,60,1269,486,22,31.9,0.8335,44.45017377,29.19158647,59.85278078
2004-05-30 10:00:00,0.4,844,-200,3.7,696,58,1353,64,1292,507,25.5,25.9,0.8339,38.79545535,22.48904558,53.81299448
2004-05-30 11:00:00,0.3,833,-200,3.8,697,54,1361,64,1294,496,27.5,22.8,0.8249,34.05583913,18.71159199,49.67797311
2004-05-30 12:00:00,0.3,832,-200,4.2,719,52,1318,59,1299,502,28.7,20.7,0.8024,31.06953828,15.60153796,46.71494105
2004-05-30 13:00:00,0.1,771,-200,2.6,626,34,1502,41,1210,430,29.1,19.6,0.7771,29.62286026,14.53463494,44.00963905
2004-05-30 14:00:00,0.1,783,-200,2.8,637,41,1498,46,1215,439,29.8,18.4,0.7595,28.9731989,13.1686616,44.24445954
2004-05-30 15:00:00,0.2,815,-200,4.2,723,41,1378,46,1256,471,32,15,0.7028,28.68886979,13.2287424,44.81192687
2004-05-30 16:00:00,0.6,912,-200,6.2,819,65,1224,77,1368,589,30.3,17,0.7232,29.01754874,13.89068488,43.13075341
2004-05-30 17:00:00,0.5,894,-200,5.2,774,65,1239,83,1339,598,31.7,16.2,0.745,30.49248147,15.01660304,46.80111473
2004-05-30 18:00:00,0.9,963,-200,7.7,885,84,1102,90,1447,695,29.2,19.6,0.7817,33.22712775,17.26154396,48.41834033
2004-05-30 19:00:00,1.1,990,-200,8.8,930,89,1045,95,1506,739,27.4,23.8,0.858,36.61870487,19.89762386,53.80727944
2004-05-30 20:00:00,1.3,1025,-200,10.1,980,114,986,113,1591,891,25,26.9,0.8408,39.74383205,23.42523401,55.54029413
2004-05-30 21:00:00,1.5,997,-200,9.8,971,127,993,128,1573,930,23.6,30.1,0.8663,42.04308078,26.87080628,56.90247688
2004-05-30 22:00:00,1.2,976,-200,8.4,916,117,1044,117,1515,880,22.3,33.6,0.8913,43.63617467,26.86159708,59.5367166
2004-05-30 23:00:00,0.4,878,-200,5.4,784,46,1181,64,1407,610,21.4,36.9,0.9271,45.01289019,29.24122827,60.18158149
2004-05-31 00:00:00,0.2,836,-200,4.3,728,16,1213,28,1353,518,20.6,39.9,0.9597,46.47184795,30.71202972,61.83309787
2004-05-31 01:00:00,0.3,855,-200,4.8,751,27,1107,46,1418,664,19.7,43.2,0.9812,47.89032549,32.2757218,63.02049342
2004-05-31 02:00:00,-200,759,-200,2.1,588,4,1323,8,1286,515,19.7,42.4,0.9636,49.00816098,33.82876197,64.41639041
2004-05-31 03:00:00,-200,738,-200,1.4,539,-200,1421,-200,1257,477,18.9,45,0.9703,49.83569922,34.41349913,65.17656899
2004-05-31 04:00:00,-200,736,-200,1.3,528,19,1451,32,1254,477,18.7,45.4,0.9694,50.66073731,34.66907438,67.31223552
2004-05-31 05:00:00,-200,765,-200,2.3,609,48,1304,57,1319,581,16.4,52.4,0.9709,51.58241306,37.20307585,67.95638611
2004-05-31 06:00:00,0.5,909,-200,6.5,834,82,1031,60,1527,763,16.6,52.1,0.9785,52.06841774,36.28202297,67.96659344
2004-05-31 07:00:00,1.6,1108,-200,14.2,1123,167,804,83,1801,1111,17.4,50.9,1.0017,51.10164948,35.63221673,66.3165456
2004-05-31 08:00:00,3.6,1252,-200,22.7,1369,248,681,129,2120,1390,19.3,46,1.0185,47.93554545,32.3284464,64.01554175
2004-05-31 09:00:00,2.2,1175,-200,16.3,1188,213,790,137,1901,1251,20.9,43.6,1.0683,42.83624482,27.47474506,58.29497045
2004-05-31 10:00:00,1.6,1111,-200,14.1,1120,161,839,121,1790,1141,25.6,33.3,1.0773,37.10860924,21.55426345,51.94490142
2004-05-31 11:00:00,1.4,1044,-200,12.6,1069,144,889,123,1683,942,28.9,26,1.0188,32.30731314,17.97402467,47.35099086
2004-05-31 12:00:00,1.4,1018,-200,13.1,1088,127,909,120,1677,795,30.3,22.8,0.9695,29.27165767,14.19840734,44.47710941
2004-05-31 13:00:00,1.5,1060,-200,14.2,1122,116,863,119,1721,836,30.9,24.4,1.0724,27.7889096,13.23364292,43.03762176
2004-05-31 14:00:00,1.3,1071,-200,13.8,1110,124,864,121,1733,847,30.5,26.2,1.1278,27.1172809,11.64241913,43.30534556
2004-05-31 15:00:00,1.2,1006,-200,12.1,1054,115,921,111,1636,769,30.7,23.4,1.015,26.82575346,10.37902993,42.14653103
2004-05-31 16:00:00,1.8,1104,-200,15.7,1171,150,827,128,1803,968,28.1,29.8,1.1132,27.16250857,11.7439981,42.96021055
2004-05-31 17:00:00,3,1196,-200,21.4,1336,221,739,159,1971,1157,26.9,32.2,1.1267,28.66112953,13.27554136,44.21880456
2004-05-31 18:00:00,3.5,1243,-200,25,1429,227,687,161,2093,1367,26,34.6,1.1485,31.43524078,17.25233478,48.35437096
2004-05-31 19:00:00,2.4,1124,-200,16.6,1199,156,794,116,1858,1101,24.5,37.7,1.1454,34.88204825,18.82397962,50.79014037
2004-05-31 20:00:00,1.1,1020,-200,10.7,1003,97,904,96,1716,916,21.7,46.9,1.2044,38.07798291,22.74927685,53.08079817
2004-05-31 21:00:00,0.8,1035,-200,7.5,878,78,977,69,1694,825,19.3,68.8,1.519,40.46325226,24.15507035,55.80623385
2004-05-31 22:00:00,0.4,986,-200,5.3,781,60,1063,58,1633,693,17.6,81.6,1.6296,42.15704349,25.82012687,56.88082961
2004-05-31 23:00:00,0.6,1017,-200,6.5,834,61,986,59,1676,734,17.8,80.3,1.6212,43.64842951,27.4289197,58.26089297
2004-06-01 00:00:00,0.3,922,-200,4.7,750,46,1085,45,1585,685,18.6,75.7,1.6074,45.2351676,30.23780848,60.83079972
2004-06-01 01:00:00,-200,830,-200,2.9,644,17,1235,23,1487,524,19.6,68.4,1.5443,46.79352144,30.60006197,61.9409899
2004-06-01 02:00:00,-200,805,-200,2,583,18,1339,26,1494,527,18,76.4,1.5608,48.0621759,33.08056693,62.81542942
2004-06-01 03:00:00,-200,760,-200,1.1,505,-200,1527,-200,1413,452,17.3,77.2,1.5104,49.05019575,32.99542892,66.57845692
2004-06-01 04:00:00,-200,783,-200,1.3,529,16,1437,24,1435,466,16.5,82.3,1.5318,50.04398555,34.75351584,65.93632064
2004-06-01 05:00:00,0.1,854,-200,2.4,613,39,1272,41,1515,565,16.8,81.3,1.5452,51.14119373,35.16282895,66.24202987
2004-06-01 06:00:00,0.3,985,-200,6.1,816,107,987,65,1677,799,17.3,78.6,1.5412,51.80794207,35.79749193,66.77854137
2004-06-01 07:00:00,1.4,1225,-200,12.5,1067,190,760,94,1922,1102,16.9,80.9,1.5472,51.02549678,35.18957738,66.85660366
2004-06-01 08:00:00,2.7,1313,-200,19.5,1283,236,671,100,2180,1299,17.1,79.8,1.542,48.04561924,32.9510452,63.45537607
2004-06-01 09:00:00,2.3,1199,-200,15.2,1156,227,758,103,1958,1272,18.5,70.3,1.4826,43.13274788,27.65663867,59.38702429
2004-06-01 10:00:00,1.8,1182,-200,12,1051,211,829,89,1870,1206,19.6,66.7,1.5023,37.59003795,22.56207424,54.81320365
2004-06-01 11:00:00,1.6,1173,-200,12.4,1063,201,814,86,1905,1218,20.4,63.1,1.4969,32.97047121,17.55707775,48.09215309
2004-06-01 12:00:00,1.9,1259,-200,15.9,1178,191,722,89,2060,1367,21.6,61.8,1.5775,30.11168901,13.95968617,44.75860863
2004-06-01 13:00:00,2.5,1263,-200,15.7,1171,192,759,88,2029,1290,24,49.3,1.4509,28.79934993,13.09395939,43.52160248
2004-06-01 14:00:00,1.6,1156,-200,13.5,1100,143,800,73,1884,1175,25.7,43.8,1.4262,28.29012756,11.43800115,44.10612585
2004-06-01 15:00:00,1.5,1167,-200,12.4,1065,148,808,78,1886,1139,24.6,47.5,1.4487,28.15155249,12.72913286,43.30439506
2004-06-01 16:00:00,2.5,1278,-200,17.1,1213,183,733,95,2041,1293,24.8,47.4,1.4628,28.63045799,13.09195171,44.82851698
2004-06-01 17:00:00,3.6,1342,-200,22,1351,216,657,109,2201,1419,23.7,50.5,1.4636,30.25919763,14.11094619,47.16046879
2004-06-01 18:00:00,3.5,1353,-200,19.9,1292,184,683,95,2178,1326,23,53.8,1.4968,33.15029796,16.91536324,47.97235632
2004-06-01 19:00:00,4.8,1501,-200,27.9,1501,248,588,101,2486,1517,21.5,65.8,1.6688,36.70001083,21.44230177,51.9711669
2004-06-01 20:00:00,3.7,1355,-200,19.7,1289,221,678,88,2158,1391,21,66.9,1.6436,39.98396714,25.55552036,55.01032668
2004-06-01 21:00:00,2.1,1230,-200,15.7,1169,159,737,77,2020,1275,20.6,68.1,1.6329,42.44173673,27.03297046,58.54351981
2004-06-01 22:00:00,1.6,1148,-200,12,1048,136,822,75,1883,1168,20.5,66.9,1.5914,44.19203794,28.22979079,59.76015249
2004-06-01 23:00:00,2.2,1171,-200,13.1,1088,168,822,81,1889,1132,20.2,65.2,1.5251,45.72364803,30.7677276,60.56209708
2004-06-02 00:00:00,0.8,1021,-200,9.2,949,95,927,57,1764,977,19.5,68,1.5269,47.33420422,31.96595534,61.19164891
2004-06-02 01:00:00,-200,964,-200,7.5,877,70,958,49,1692,942,19.9,66.4,1.5203,48.90002589,32.97649636,63.67185147
2004-06-02 02:00:00,-200,887,-200,4.9,758,43,1094,38,1622,804,19.1,69,1.5043,50.16002747,35.46100009,66.29604467
2004-06-02 03:00:00,-200,885,-200,5.2,773,-200,1051,-200,1641,805,18.5,70.7,1.4962,51.12367335,35.66198786,65.90284944
2004-06-02 04:00:00,-200,830,-200,3.2,662,30,1217,31,1556,704,18.9,67.8,1.4689,52.07793173,36.11307981,67.57905657
2004-06-02 05:00:00,-200,792,-200,2.4,611,22,1280,23,1529,657,20,63.7,1.4742,53.12117085,38.97361348,68.56027352
2004-06-02 06:00:00,-200,813,-200,2.8,639,25,1267,22,1538,655,19.8,64.7,1.4769,53.72037881,38.55652659,68.37437293
2004-06-02 07:00:00,-200,890,-200,3.9,703,48,1145,33,1601,751,19.7,65.3,1.4843,52.85782324,36.89622011,68.6443865
2004-06-02 08:00:00,-200,984,-200,6.9,854,73,964,43,1751,885,20.8,62,1.5002,49.78638906,33.99202481,65.01549912
2004-06-02 09:00:00,-200,1043,-200,8.5,920,95,925,53,1777,955,22.2,56.6,1.4973,44.77174605,28.98706952,59.99346776
2004-06-02 10:00:00,-200,1054,-200,8.9,936,86,915,54,1791,962,24.3,49,1.4724,39.11837301,23.08720285,54.2975395
2004-06-02 11:00:00,-200,1063,-200,8.8,930,102,925,62,1749,957,25,46.5,1.4492,34.3806509,18.44633823,51.46549764
2004-06-02 12:00:00,-200,978,-200,7.4,873,80,1003,53,1669,788,28.9,34.8,1.3603,31.39767854,16.56963031,46.52499213
2004-06-02 13:00:00,-200,887,-200,4.7,748,36,1141,34,1560,596,29.6,33.4,1.3581,29.95661224,13.88259971,45.52376855
2004-06-02 14:00:00,-200,887,-200,4.8,754,32,1164,30,1523,560,30.9,30.7,1.3493,29.31564525,13.84086558,45.13289242
2004-06-02 15:00:00,-200,977,-200,6.8,850,46,1035,37,1645,701,31.8,31,1.4286,29.04383124,14.28245621,44.49595063
2004-06-02 16:00:00,-200,1043,-200,8.9,934,61,929,47,1707,811,31.4,31.2,1.4127,29.38951159,13.62818681,44.59089397
2004-06-02 17:00:00,-200,1010,-200,8.1,902,59,966,44,1676,724,28.9,35.7,1.3985,30.88651492,15.25518465,45.91389006
2004-06-02 18:00:00,-200,1094,-200,10.5,996,76,876,53,1807,864,27.2,42.5,1.5135,33.64879223,18.27723542,48.69968515
2004-06-02 19:00:00,-200,1223,-200,14.8,1142,145,778,88,1965,1084,26.2,46.4,1.5573,37.0739524,22.08578261,52.87178087
2004-06-02 20:00:00,-200,1109,-200,11.8,1042,140,834,95,1888,998,24.5,51,1.5454,40.23890013,24.28063991,55.74808054
2004-06-02 21:00:00,-200,1026,-200,8.7,927,102,915,82,1781,878,22.8,56.1,1.5353,42.58438111,27.19182281,58.36311455
2004-06-02 22:00:00,-200,1036,-200,8.7,928,89,914,59,1787,909,21.9,60.9,1.5799,44.23017829,28.108744,59.62625677
2004-06-02 23:00:00,-200,963,-200,6.9,853,62,995,43,1732,789,21.7,61,1.5617,45.66601036,29.90163976,61.2510565
2004-06-03 00:00:00,-200,996,-200,7.3,868,69,957,51,1741,857,20.8,64.8,1.568,47.19032259,31.26780916,63.02324803
2004-06-03 01:00:00,-200,999,-200,6.9,853,63,951,49,1756,885,20.3,70.9,1.6699,48.68010052,33.78493919,64.4399451
2004-06-03 02:00:00,-200,893,-200,4.6,741,31,1056,36,1664,743,18.9,79,1.704,49.87477627,34.16440195,65.42721097
2004-06-03 03:00:00,-200,730,-200,1.3,530,-200,1517,-200,1362,445,18.1,64.6,1.3276,50.78417868,35.35101239,65.67987551
2004-06-03 04:00:00,-200,753,-200,1.7,562,17,1420,24,1414,454,18.6,64.5,1.3655,51.69548445,36.47226293,66.7406976
2004-06-03 05:00:00,-200,825,-200,3.2,663,61,1203,58,1504,610,17.6,67.4,1.346,52.70711362,37.74443284,69.30295545
2004-06-03 06:00:00,-200,1012,-200,10.1,982,184,882,73,1796,1024,17.6,67.6,1.3479,53.28595065,37.18806803,67.59856837
2004-06-03 07:00:00,-200,1221,-200,19.9,1293,248,688,74,2144,1316,19,61.7,1.3393,52.41400736,37.18649302,67.36787439
2004-06-03 08:00:00,-200,1215,-200,20.2,1303,220,694,97,2180,1358,20,57.4,1.3268,49.34376577,32.70687689,64.97165225
2004-06-03 09:00:00,-200,1234,-200,20.8,1318,243,714,108,2108,2202,22.6,45.9,1.2418,44.34035275,29.08096758,59.97416654
2004-06-03 10:00:00,-200,1138,-200,15.1,1152,164,798,93,1877,1947,27.3,34.3,1.2284,38.70757292,21.89752821,53.71937598
2004-06-03 11:00:00,-200,987,-200,10.9,1009,-200,914,-200,1697,1227,27.4,31,1.1184,33.99901215,17.46143041,49.63416675
2004-06-03 12:00:00,-200,980,-200,11.1,1019,-200,921,-200,1720,950,26.2,33.6,1.1244,31.05286516,15.19237495,46.73466831
2004-06-03 13:00:00,-200,966,-200,12.1,1054,-200,885,-200,1742,917,26.8,32.4,1.1263,29.65528836,14.11104125,46.34415527
2004-06-03 14:00:00,-200,905,-200,8.6,923,-200,1025,-200,1582,707,28.7,27.7,1.071,29.0633937,14.05879786,43.74193396
2004-06-03 15:00:00,-200,903,-200,9.7,968,-200,992,-200,1565,740,28.7,25,0.9684,28.84508744,12.19162373,44.4068835
2004-06-03 16:00:00,-200,914,-200,11,1014,-200,988,-200,1597,775,29.1,22.3,0.8811,29.2475136,13.2142116,45.09524496
2004-06-03 17:00:00,-200,1050,-200,16.6,1199,-200,849,-200,1781,1035,29,24.5,0.9655,30.80327013,15.13197225,46.92869998
2004-06-03 18:00:00,-200,1043,-200,14.7,1139,-200,876,-200,1756,1001,27.2,28.3,1.0016,33.62506108,18.10756637,49.41943061
2004-06-03 19:00:00,-200,1125,-200,19.5,1283,-200,792,-200,1899,1101,25.3,30,0.952,37.10924921,21.5256753,52.29150439
2004-06-03 20:00:00,-200,1058,-200,14.5,1134,-200,855,-200,1797,1034,24.1,34.8,1.0333,40.33151098,25.21160783,56.03555548
2004-06-03 21:00:00,-200,951,-200,7.8,892,-200,1015,-200,1611,786,23,43.1,1.1993,42.73139846,26.48587498,57.19092968
2004-06-03 22:00:00,-200,944,-200,7.8,891,-200,1016,-200,1593,844,22.1,43.9,1.1521,44.42755168,29.47922425,59.86726061
2004-06-03 23:00:00,-200,959,-200,7.8,892,-200,996,-200,1616,866,21,48.1,1.178,45.90861265,31.14184766,61.47295494
2004-06-04 00:00:00,-200,974,-200,8.5,919,-200,976,-200,1638,909,20.6,49.2,1.1754,47.47203062,31.58482672,63.61209831
2004-06-04 01:00:00,-200,880,-200,5.7,799,-200,1097,-200,1533,724,21.2,47.6,1.1799,48.99388918,33.16446332,64.92999337
2004-06-04 02:00:00,-200,853,-200,4.5,740,-200,1146,-200,1526,715,21,50.1,1.2338,50.21282462,34.33947423,65.94222732
2004-06-04 03:00:00,-200,912,-200,5.6,795,-200,1042,-200,1564,827,20.1,53.1,1.2342,51.13798663,35.84295037,65.21079726
2004-06-04 04:00:00,-200,863,-200,4.6,745,-200,1098,-200,1496,786,19,54,1.1745,52.05599857,35.74073236,68.39759151
2004-06-04 05:00:00,-200,729,-200,1.2,520,-200,1570,-200,1318,445,19.2,51.1,1.124,53.06486021,36.56077855,68.07219102
2004-06-04 06:00:00,-200,830,-200,3.4,674,-200,1246,-200,1459,607,19.2,53.1,1.1662,53.63117439,38.21156329,68.70057215
2004-06-04 07:00:00,-200,1198,-200,17,1209,-200,779,-200,2058,1213,20.6,49,1.1748,52.73681357,37.77607394,67.22408585
2004-06-04 08:00:00,-200,971,-200,10,977,-200,921,-200,1667,910,21.8,41.9,1.077,49.63426454,34.33076659,65.31944262
2004-06-04 09:00:00,-200,885,-200,6,812,-200,1100,-200,1495,675,22.8,37.6,1.0315,44.58880284,29.05206244,60.09481152
2004-06-04 10:00:00,-200,862,-200,5.7,798,-200,1148,-200,1456,582,24.8,31.3,0.9646,38.90452362,22.57815243,54.1703821
2004-06-04 11:00:00,-200,892,-200,6.9,853,-200,1080,-200,1509,666,26,29.4,0.976,34.13544116,18.58777633,49.92068886
2004-06-04 12:00:00,-200,933,-200,9.5,960,-200,994,-200,1577,726,27,27.8,0.9731,31.1203107,15.70814103,45.58751051
2004-06-04 13:00:00,-200,975,-200,11.1,1017,-200,930,-200,1668,801,27,29.3,1.0277,29.64597368,12.89512043,43.82692116
2004-06-04 14:00:00,-200,927,-200,8.1,905,-200,1016,-200,1554,711,27,29.6,1.0419,28.97034239,12.37691365,44.53077185
2004-06-04 15:00:00,-200,993,-200,10.2,985,-200,950,-200,1680,790,25.8,32.6,1.072,28.66222797,13.00443878,43.67586938
2004-06-04 16:00:00,2.7,1053,-200,13.3,1093,-200,873,-200,1749,924,26.2,32.6,1.0892,28.96977172,14.01943885,43.95942454
